site,lat,lon,2006,2007,2008,2009
Wedgeport,43.7137,65.96947,TRUE,TRUE,TRUE,TRUE
Camp Cove,43.7236,65.84057,TRUE,TRUE,TRUE,TRUE
Ingomar,43.56273,65.36245,TRUE,TRUE,TRUE,TRUE
Corkum’s Island,44.36113,64.33362,TRUE,,,
Lunenburg,44.37525,64.33069,TRUE,TRUE,TRUE,TRUE
Arichat,45.51055,61.01768,TRUE,,,
Petit de Grat; B,45.50252,60.964,TRUE,,,
Cheticamp,46.6268,61.01597,TRUE,TRUE,,
Big Bras D’Or,46.28117,60.425,TRUE,,,
Blanche,43.54773,65.43217,TRUE,,,
Upper Port La Tour,43.56273,65.36245,TRUE,,,
Meteghan,44.19365,66.16688,,TRUE,TRUE,TRUE
Clark’s Harbour,43.4447,65.6351,,TRUE,TRUE,TRUE
Shelburne,43.7578,65.322,,TRUE,,
Lockeport,43.6995,65.1074,,TRUE,TRUE,TRUE
Indian Point,44.45598,64.30683,,TRUE,TRUE,TRUE
Chester,44.5378,64.2384,,TRUE,TRUE,TRUE
Cape Canso,45.3345,60.9861,,TRUE,,
North Sydney,46.2068,60.249,,TRUE,,
Yarmouth Bar,43.81648,66.14785,,,TRUE,TRUE
Mahone Bay,44.44782,64.37437,,,TRUE,TRUE
Petit de Grat; A,45.5071,60.9605,,,TRUE,TRUE
D’Escousse,45.5887,60.9618,,,TRUE,TRUE
Little Harbour,45.58333,60.74067,,,TRUE,TRUE
St. Peter’s,45.66115,60.8744,,,TRUE,
Gabarus,46.8202,60.1545,,,TRUE,TRUE
Alder Point,46.3085,60.284,,,TRUE,TRUE
Dingwall,46.9032,60.4604,,,TRUE,TRUE
Bay St. Lawrence,47.0001,60.4647,,,TRUE,TRUE
Cheticamp,46.6268,61.01597,,,TRUE,TRUE
Inverness,46.23,61.3169,,,TRUE,
Port La Tour,43.49848,65.46988,,,,TRUE
Lower Sandy Point,43.68013,65.30135,,,,TRUE
Hubbards,44.63768,64.05907,,,,TRUE
Forchu,45.7167,60.2452,,,,TRUE
Main a Dieu,46.0065,59.8411,,,,TRUE
North Sydney,46.2068,60.249,,,,TRUE
Ingonish,46.6893,60.3592,,,,TRUE
Robin's Cove,45.5062,61.0999,,,,TRUE
Riverport,44.2896,64.3446,,,,TRUE
Port Mouton,43.9194,64.8434,,,,TRUE
Port Morien,46.1308,59.8703,,,,TRUE
South Bar,46.1997,60.2041,,,,TRUE
Head Harbour,44.946556,66.905472,,,,TRUE