First,phylum,class,family,Park,Schenk,Davis,King,Staufenberger,Wiese,Tourneroche,Liu,BD
Wiese,Proteobacteria,Gammaproteobacteria,Aeromonadaceae,,,,,,TRUE,,,
BD,Proteobacteria,Alphaproteobacteria,Ahrensiaceae,,,,,,,,,TRUE
Wiese,Proteobacteria,Betaproteobacteria,Alcaligenaceae,,,,,,TRUE,,,TRUE
Liu,Proteobacteria,Gammaproteobacteria,Alcanivoracaceae,,,,,,,,TRUE,
Liu,Proteobacteria,Gammaproteobacteria,Arenicellaceae,,,TRUE,,,,TRUE,TRUE,TRUE
Staufenberger,Proteobacteria,Gammaproteobacteria,Alteromonadaceae,,TRUE,TRUE,,TRUE,TRUE,,,TRUE
BD,Bdellovibrionota,Bacteriovoracia,Bacteriovoracaceae,,,,,,,,,TRUE
Wiese,Firmicutes,Bacilli,Bacillaceae,,,,,,TRUE,,,
BD,Bdellovibrionota,Bdellovibrionia,Bdellovibrionaceae,,,,,,,,,TRUE
Tourneroche,Proteobacteria,Betaproteobacteria,Burkholderiaceae,,,,,,,TRUE,,
BD,Proteobacteria,Gammaproteobacteria,Cellvibrionaceae,,,,,,,,,TRUE
Schenk,Proteobacteria,Gammaproteobacteria,Chromatiaceae,,TRUE,,,,,,,
Tourneroche,Proteobacteria,Gammaproteobacteria,Colwelliaceae,TRUE,TRUE,,,,,TRUE,,TRUE
Tourneroche,Bacteroidetes,Cytophagia,Cyclobacteriaceae,,,,,,,TRUE,,
Park,Proteobacteria,Gammaproteobacteria,Ectothiorhodospiraceae,TRUE,,,,,,,,
Staufenberger,Proteobacteria,Alphaproteobacteria,Erythrobacteraceae,,TRUE,,,TRUE,,,,
BD,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,,,,,,,,,TRUE
Tourneroche,Bacteroidetes,Cytophagia,Flammeovirgaceae,,,,,,,TRUE,,TRUE
core?,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
core?,Proteobacteria,Gammaproteobacteria,Granulosicoccaceae,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
Wiese,Proteobacteria,Gammaproteobacteria,Halomonadaceae,,,,,,TRUE,,,
core?,Proteobacteria,Alphaproteobacteria,Hyphomonadaceae,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE
Staufenberger,Proteobacteria,Gammaproteobacteria,Legionellaceae,,,,,TRUE,,,,
BD,Bacteroidetes,Saprospiria,Lewinellaceae,,TRUE,TRUE,,,,,,TRUE
core?,Proteobacteria,Gammaproteobacteria,Leucotrichaceae,TRUE,TRUE,TRUE,,,,,,TRUE
BD,Proteobacteria,Gammaproteobacteria,Marinicellaceae,,,,,,,,,TRUE
Wiese,Actinobacteria,Actinomycetia,Microbacteriaceae,,,,,,TRUE,,,
Wiese,Actinobacteria,Actinomycetia,Micrococcaceae,,,,,,TRUE,,,
Tourneroche,Proteobacteria,Gammaproteobacteria,Moraxellaceae,,,,,,,TRUE,,TRUE
Davis,Proteobacteria,Gammaproteobacteria,Oceanospirillaceae,,TRUE,TRUE,,,,,,
Tourneroche,Proteobacteria,Betaproteobacteria,Oxalobacteriaceae,,,,,,,TRUE,,
BD,Proteobacteria,Alphaproteobacteria,Parvularculaceae,,,,,,,,,TRUE
Staufenberger,Proteobacteria,Alphaproteobacteria,Pelagibacteraceae,,,,,TRUE,,,,
Wiese,Proteobacteria,Alphaproteobacteria,Phyllobacteriaceae,,,TRUE,,,TRUE,,TRUE,
Davis,Planctomycetota,Planctomycetia,Pirellulaceae,,,TRUE,,,,,,
core?,Planctomycetota,Planctomycetia,Planctomycetaceae,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
Davis,Proteobacteria,Gammaproteobacteria,Porticoccaceae,,,TRUE,,,,,,
Tourneroche,Actinobacteria,Actinomycetia,Propionibacteraceae,,,,,,,TRUE,,
Wiese,Proteobacteria,Gammaproteobacteria,Pseudoalteromonadaceae,,TRUE,,,,TRUE,,,
Staufenberger,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,TRUE,TRUE,,,
Wiese,Actinobacteria,Actinomycetia,Pseudonocardiaceae,,,,,,TRUE,,,
Liu,Proteobacteria,Gammaproteobacteria,Psychromonadaceae,,,,,,,,TRUE,
BD,Proteobacteria,Alphaproteobacteria,Rhizobiaceae,,,,,,,,,TRUE
Tourneroche,Proteobacteria,Alphaproteobacteria,Rhodobacteraceae,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE
Liu,Proteobacteria,Gammaproteobacteria,Saccharospirillaceae,,,,,,,,TRUE,
BD,Bacteroidetes,Saprospiria,Saprospiraceae,,,TRUE,,,,,,TRUE
Staufenberger,Proteobacteria,Alphaproteobacteria,Sphingomonadaceae,,TRUE,,,TRUE,,,,TRUE
BD,Firmicutes,Bacilli,Sporolactobacillaceae,,,,,,,,,TRUE
Wiese,Actinobacteria,Actinomycetia,Streptomycetaceae,,,,,,TRUE,,,
Tourneroche,Proteobacteria,Gammaproteobacteria,Thiohalorhabdaceae,,,,,,,TRUE,,
BD,Proteobacteria,Gammaproteobacteria,Thiotrichaceae,,,,,,,,,TRUE
core?,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiaceae,,TRUE,TRUE,,,,,TRUE,
Wiese,Proteobacteria,Gammaproteobacteria,Vibrionaceae,,,,,,TRUE,,TRUE,
Wiese,Proteobacteria,Gammaproteobacteria,Xanthomonadaceae,,,,,,TRUE,,,TRUE